FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,2.63117e+011,2.17643e+009
0,0.1,1,2.00571e+010,6.74091e+008
0,1,10,1.24202e+009,6.62629e+008
0,10,100,2.93625e+008,5.42722e+008
0,100,1000,2.0438e+006,3.97129e+008
0,1000,10000,378416,1.97184e+008
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,5.88947e+008,3.73893e+007
1,10,100,2.13421e+008,1.20581e+009
1,100,1000,1.03159e+007,2.77795e+008
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,9.19619e+009,4.60941e+008
2,1,10,1.1826e+009,5.13556e+008
2,10,100,1.5711e+007,2.79174e+008
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,2.67093e+013,1.60353e+010
3,0.01,0.1,2.21351e+012,3.87293e+009
3,0.1,1,6.64606e+008,3.84702e+007
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,4.8425e+008,702336
4,0.01,0.1,1.0276e+012,4.71691e+009
4,0.1,1,6.58854e+009,1.5664e+008
4,1,10,8.72085e+007,1.40888e+007
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,4.69593e+012,4.15274e+009
5,0.01,0.1,1.94093e+012,3.02922e+009
5,0.1,1,1.71225e+009,5.3556e+007
5,1,10,6.4671e+006,3.21996e+006
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,6.45296e+010,4.22962e+008
6,0.1,1,3.1029e+008,1.47009e+007
6,1,10,2.64462e+007,1.90426e+007
6,10,100,1.72837e+007,3.15069e+008
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,2.38079e+008,1.8693e+006
7,0.1,1,5.50508e+010,7.75892e+008
7,1,10,1.45e+008,1.30966e+008
7,10,100,4.52327e+007,2.86903e+008
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,5.00544e+009,8.28216e+007
8,0.1,1,1.9128e+009,3.76296e+007
8,1,10,1.47437e+007,1.85094e+007
8,10,100,1.94628e+007,2.34352e+008
8,100,1000,0,0
8,1000,10000,0,0
