FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,7.95835e+009,2.92061e+008
0,0.1,1,1.96901e+010,1.8905e+009
0,1,10,1.8511e+009,1.4612e+009
0,10,100,1.61387e+008,3.89157e+008
0,100,1000,2.68051e+006,4.50705e+008
0,1000,10000,335845,2.42459e+008
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,1.04114e+008,2.37317e+008
1,10,100,5.14692e+008,9.79011e+008
1,100,1000,4.60157e+006,2.0326e+008
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,2.36505e+010,2.759e+009
2,1,10,3.46503e+009,1.18761e+009
2,10,100,1.74942e+008,3.2489e+008
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,8.07778e+012,9.98916e+009
3,0.01,0.1,4.43211e+011,4.14967e+009
3,0.1,1,1.57165e+009,1.06405e+008
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,3.69681e+007,115758
4,0.01,0.1,2.09903e+011,2.50533e+009
4,0.1,1,2.22977e+009,5.93577e+008
4,1,10,4.25803e+007,2.76228e+007
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,1.10073e+012,2.30608e+009
5,0.01,0.1,5.41672e+010,6.81045e+008
5,0.1,1,2.94467e+009,2.70912e+008
5,1,10,1.48847e+007,8.92019e+006
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,3.84075e+009,5.69186e+007
6,0.1,1,9.3902e+008,6.83199e+007
6,1,10,5.6226e+007,3.68405e+007
6,10,100,6.6982e+006,1.62388e+008
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,1.32585e+008,4.67107e+006
7,0.1,1,7.46666e+010,1.89207e+009
7,1,10,2.38208e+008,2.36668e+008
7,10,100,3.33327e+007,3.33789e+008
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,6.11652e+009,1.54981e+008
8,0.1,1,4.11408e+009,4.5729e+008
8,1,10,4.56738e+007,3.29349e+007
8,10,100,1.00056e+007,1.74732e+008
8,100,1000,0,0
8,1000,10000,0,0
