GridcellIndex,FunctionalGroupIndex,JuvenileMass,AdultMass,IndividualBodyMass,CohortAbundance,LogOptimalPreyBodySizeRatio,BirthTimeStep,ProportionTimeActive,TrophicIndex,IndividualReproductivePotentialMass,MaturityTimeStep,IsAdult,AgeMonths,TimeStepsJuviline,TimeStepsAdult
0,0,1796.87,28740.8,28740.8,10226.8,-2.46243,0,0.5,2,12277.7,10,1,15,11,4
0,0,3832.94,455902,93703.9,90358.5,-2.34468,0,0.5,2,0,4294967295,0,15,15,0
0,0,664.751,11184.4,11184.4,39321.3,-2.20265,0,0.5,2,0,8,1,15,9,6
0,0,49.8727,2594.96,2594.96,147741,-2.24328,0,0.5,2,0,6,1,15,7,8
0,0,2.97435,56.1596,56.1596,2.1155e+007,-2.35147,3,0.5,2,0,6,1,11,3,8
0,0,542.186,48304.6,42156.6,562461,-2.34468,0,0.5,2,0,4294967295,0,15,15,0
0,0,16038.3,348711,182435,166421,-2.46243,0,0.5,2,0,4294967295,0,15,15,0
0,0,52.0996,2467.34,257.739,1.40844e+008,-2.24328,12,0.5,2,0,4294967295,0,2,2,0
0,0,1745.65,27809.4,3746.09,175948,-2.46243,12,0.5,2,0,4294967295,0,2,2,0
0,0,3.02384,56.5436,12.7112,1.36681e+008,-2.35147,13,0.5,2,0,4294967295,0,1,1,0
0,0,2.91239,59.9628,2.91239,9.25185e+008,-2.35147,14,0.5,2,0,4294967295,0,0,0,0
0,0,50.7563,2616.61,50.7563,8.81735e+006,-2.24328,14,0.5,2,0,4294967295,0,0,0,0
0,0,658.372,11862.6,658.372,5.18693e+006,-2.20265,14,0.5,2,0,4294967295,0,0,0,0
0,1,1624.88,64817.9,64817.9,325.115,-0.00478239,0,0.5,3.04029,1638,5,1,15,6,9
0,1,1537.14,26904.1,21350.7,362294,-0.0148822,5,0.5,3.55558,8494.64,9,1,9,4,5
0,1,1537.14,26904.1,6865.62,9.00539e+006,-0.0148822,10,0.5,3.53335,0,4294967295,0,4,4,0
0,1,2603.02,40521.4,24614.9,44.1039,0.000107742,11,0.5,3.61842,0,4294967295,0,3,3,0
0,1,33.5544,1658.86,1083.83,7.18707e+006,-2.34468,12,0.5,3.35596,0,4294967295,0,2,2,0
0,1,30.6126,1787.35,234.424,6.93527e+007,-2.34468,13,0.5,3.57132,0,4294967295,0,1,1,0
0,1,32.6424,1959.13,32.6424,2.17736e+008,-2.34468,14,0.5,3,0,4294967295,0,0,0,0
0,2,37.2263,2236.7,2236.7,160404,-2.34468,0,0.5,3.58508,0,6,1,15,7,8
0,2,379.597,32087.4,19741.6,7820.94,-2.34468,0,0.5,2.27355,0,4294967295,0,15,15,0
0,2,431.141,6734.57,4644.49,2.47926e+006,-2.20265,11,0.5,3.47781,0,4294967295,0,3,3,0
0,2,34.8032,2189.44,759.37,9.69899e+007,-2.34468,11,0.5,3.82243,0,4294967295,0,3,3,0
0,2,8.78368,264.847,264.847,5.26405e+008,-2.71651,12,0.5,3.18689,46.5533,14,1,2,2,0
0,2,25.0534,259.62,259.62,8.43909e+006,-2.46243,12,0.5,3.55327,-6.12129e-015,14,1,2,2,0
0,2,133.02,4404.76,1221.05,2.49954e+007,-2.50065,12,0.5,3.86301,0,4294967295,0,2,2,0
0,2,22.4123,530.844,103.204,2.34713e+008,-2.35147,13,0.5,3.96091,0,4294967295,0,1,1,0
0,2,36.1884,2428.45,197.582,1.17365e+007,-2.34468,13,0.5,3.28919,0,4294967295,0,1,1,0
0,2,84.9137,919.739,379.237,3.05078e+006,-2.30151,13,0.5,3.52891,80.3827,4294967295,0,1,1,0
0,2,8.78368,264.847,20.2289,2.04853e+009,-2.71651,13,0.5,3.45053,0,4294967295,0,1,1,0
0,2,8.03132,291.851,8.03132,1.80034e+010,-2.71651,14,0.5,2.5,0,4294967295,0,0,0,0
0,2,22.4123,530.844,22.4123,1.76132e+008,-2.35147,14,0.5,2.5,0,4294967295,0,0,0,0
0,2,151.533,4019.33,151.533,1.12708e+008,-2.50065,14,0.5,2.5,0,4294967295,0,0,0,0
0,2,427.357,6662.06,427.357,5.9545e+006,-2.20265,14,0.5,2.5,0,4294967295,0,0,0,0
0,2,89.8879,958.024,89.8879,139099,-2.30151,14,0.5,2.5,0,4294967295,0,0,0,0
0,2,37.8191,2196.66,37.8191,1.40591e+007,-2.34468,14,0.5,2.5,0,4294967295,0,0,0,0
0,3,0.408295,10.6005,10.6005,1.655e+010,-2.24328,10,0.10581,2,0.9267,14,1,4,4,0
0,3,10.1092,258.275,107.37,3.32811e+006,-2.18799,10,0.10581,2,0,4294967295,0,4,4,0
0,3,39.2949,379.366,241.204,1.3952e+006,-2.30151,10,0.10581,2,0,4294967295,0,4,4,0
0,3,2.48884,59.5976,50.8616,9.8553e+006,-2.71651,10,0.10581,2,0,4294967295,0,4,4,0
0,3,4.65689,113.887,22.2125,4.12388e+006,-2.20756,12,0.10581,2,0,4294967295,0,2,2,0
0,3,0.505885,3.0459,1.52295,3.4889e+008,-2.46243,12,0.10581,2,0,14,1,2,2,0
0,3,0.478725,3.31612,0.478725,1.49813e+010,-2.46243,14,0.10581,2,0,4294967295,0,0,0,0
0,3,0.974313,12.9404,0.974313,1.61505e+009,-2.35147,14,0.10581,2,0,4294967295,0,0,0,0
0,4,73.6052,933.657,933.657,1.12736e+007,-2.30426,10,0.10581,3.71391,179.45,14,1,4,4,0
0,4,191.524,2001,1902.63,5.70182e+006,-2.30151,10,0.10581,3.62661,0,4294967295,0,4,4,0
0,4,12.046,463.167,440.734,1.5747e+008,-2.24328,10,0.10581,3.82719,0,4294967295,0,4,4,0
0,4,2.8413,67.8264,67.8264,9.02093e+007,-2.71651,10,0.10581,3.64522,25.3608,13,1,4,3,1
