GridcellIndex,FunctionalGroupIndex,JuvenileMass,AdultMass,IndividualBodyMass,CohortAbundance,LogOptimalPreyBodySizeRatio,BirthTimeStep,ProportionTimeActive,TrophicIndex,IndividualReproductivePotentialMass,MaturityTimeStep,IsAdult,AgeMonths,TimeStepsJuviline,TimeStepsAdult
0,0,3832.94,455902,277994,68947.8,-2.34468,0,0.5,2,0,4294967295,0,24,24,0
0,0,542.186,48304.6,48304.6,119056,-2.34468,0,0.5,2,8786.07,15,1,24,16,8
0,0,16038.3,348711,348711,95805.7,-2.46243,0,0.5,2,99302.4,21,1,24,22,2
0,0,1759.51,30919,19585.3,98489.9,-2.46243,15,0.5,2,3798.79,4294967295,0,8,8,0
0,0,2.72409,61.2298,61.2298,167159,-2.35147,15,0.5,2,0,18,1,8,3,5
0,0,665.685,11416.8,9088.17,427531,-2.20265,16,0.5,2,0,4294967295,0,7,7,0
0,0,52.4876,2565.33,121.739,1.80035e+007,-2.24328,22,0.5,2,0,4294967295,0,1,1,0
0,0,681.787,11562.8,1125.22,108911,-2.20265,22,0.5,2,0,4294967295,0,1,1,0
0,0,2.42132,55.6536,10.5173,3.49676e+007,-2.35147,22,0.5,2,0,4294967295,0,1,1,0
0,0,542.186,48304.6,906.305,1.85643e+007,-2.34468,22,0.5,2,0,4294967295,0,1,1,0
0,0,64.2855,1949.32,1949.32,8.22809e+006,-2.20756,17,0.5,2,653.744,23,1,6,6,0
0,0,2.72409,61.2298,2.72409,7.04873e+006,-2.35147,23,0.5,2,0,4294967295,0,0,0,0
0,0,92770.9,2.59651e+006,1.0046e+006,26545.9,-2.30151,0,0.5,2,0,4294967295,0,24,24,0
0,1,1635,26134.4,10336.9,4735.02,-0.0148822,15,0.5,3.41824,0,4294967295,0,8,8,0
0,1,1046.98,19699.7,19699.7,54257.8,-2.30426,15,0.5,3.50178,0,19,1,8,4,4
0,1,1018.58,19106.3,3200.77,6.71073e+006,-2.30426,22,0.5,3.99749,0,4294967295,0,1,1,0
0,1,32.7022,1554.54,315.832,5.0388e+008,-2.34468,22,0.5,3.00002,0,4294967295,0,1,1,0
0,1,1096.27,20764.1,1096.27,1.13764e+006,-2.30426,23,0.5,3,0,4294967295,0,0,0,0
0,2,379.597,32087.4,32087.4,2695.11,-2.34468,0,0.5,3.05316,9164.67,17,1,24,18,6
0,2,431.141,6734.57,6734.57,8025.55,-2.20265,11,0.5,2.80588,2257.58,15,1,12,4,8
0,2,133.02,4404.76,4404.76,14824.3,-2.50065,12,0.5,2.16542,868.438,18,1,11,6,5
0,2,151.533,4019.33,2558.09,4.73566e+007,-2.50065,14,0.5,2.26275,0,4294967295,0,9,9,0
0,2,89.8879,958.024,958.024,1.39225e+007,-2.30151,14,0.5,3.17924,0,17,1,9,3,6
0,2,37.8191,2196.66,2196.66,6.25004e+007,-2.34468,14,0.5,3.87327,95.5709,23,1,9,9,0
0,2,8.78368,264.847,264.847,110005,-2.71651,16,0.5,3.00009,0,18,1,7,2,5
0,2,452.108,7051.89,2243.4,8.27751e+006,-2.20265,17,0.5,2.43026,0,4294967295,0,6,6,0
0,2,26.3701,268.888,233.947,1.76739e+007,-2.46243,22,0.5,2.99673,-3.81564e-018,4294967295,0,1,1,0
0,2,133.02,4404.76,810.902,1.14872e+006,-2.50065,22,0.5,2.99998,0,4294967295,0,1,1,0
0,2,379.597,32087.4,1787.81,361051,-2.34468,22,0.5,3.00365,0,4294967295,0,1,1,0
0,2,86.2535,960.39,86.2535,7.49883e+006,-2.30151,23,0.5,2.5,0,4294967295,0,0,0,0
0,2,24.092,270.247,24.092,4.73158e+006,-2.46243,23,0.5,2.5,0,4294967295,0,0,0,0
0,2,8.83114,258.597,8.83114,2.11841e+008,-2.71651,23,0.5,2.5,0,4294967295,0,0,0,0
0,3,39.6398,386.078,386.078,140658,-2.30151,17,0.108737,2,65.687,23,1,6,6,0
0,3,0.48457,3.26513,1.75464,1.40882e+009,-2.46243,22,0.108737,2,0,4294967295,0,1,1,0
0,3,0.919537,13.1642,2.92028,3.54711e+008,-2.35147,22,0.108737,2,0,4294967295,0,1,1,0
0,3,4.65689,113.887,11.0093,2.55683e+006,-2.20756,22,0.108737,2,0,4294967295,0,1,1,0
0,3,9.76687,268.816,20.4587,1.93848e+007,-2.18799,22,0.108737,2,0,4294967295,0,1,1,0
0,3,2.4297,64.6307,6.4453,1.37295e+006,-2.71651,22,0.108737,2,0,4294967295,0,1,1,0
0,3,0.367763,11.2392,0.367763,4.39016e+012,-2.24328,23,0.108737,2,0,4294967295,0,0,0,0
0,4,191.524,2001,1851.89,1.27866e+007,-2.30151,16,0.108737,3.99432,0,4294967295,0,7,7,0
0,4,2.75129,70.031,7.35149,3910.84,-2.71651,17,0.108737,3.14821,0,4294967295,0,6,6,0
0,4,5.79688,103.986,22.7549,1.11339e+007,-2.35147,22,0.108737,3.04606,0,4294967295,0,1,1,0
0,4,132.55,1542.6,362.404,543327,-2.46243,22,0.108737,3,0,4294967295,0,1,1,0
0,4,2.81761,70.6555,2.82055,2.33099e+007,-2.71651,22,0.108737,3.39533,0,4294967295,0,1,1,0
0,4,79.9738,878.942,241.392,9.85009e+006,-2.30426,22,0.108737,3.00001,0,4294967295,0,1,1,0
0,4,1.4279,10.483,1.29259,2.57511e+007,-2.46243,22,0.108737,3,0,4294967295,0,1,1,0
0,4,11.3367,451.167,35.3049,6.5088e+007,-2.24328,22,0.108737,3.08863,0,4294967295,0,1,1,0
0,4,25.938,783.224,25.938,2.81766e+007,-2.18799,23,0.108737,3,0,4294967295,0,0,0,0
0,5,0.388879,2.35958,1.16106,7.12112e+008,-2.30151,22,0.108737,2,0,4294967295,0,1,1,0
0,5,2.16728,10.2479,5.10037,5.14285e+008,-2.46243,22,0.108737,2.42192,0,4294967295,0,1,1,0
0,5,8.8031,208.265,23.5508,1.72713e+007,-2.18799,22,0.108737,2.90084,0,4294967295,0,1,1,0
0,5,12.2629,664.762,25.1444,1.51618e+008,-2.34468,22,0.108737,2.74727,0,4294967295,0,1,1,0
0,5,44.7349,1013.25,130.122,4.58421e+007,-2.50065,22,0.108737,2.99982,0,4294967295,0,1,1,0
0,5,0.709843,16.2927,0.709843,4.6326e+009,-2.71651,23,0.108737,2.5,0,4294967295,0,0,0,0
0,6,107.858,4361.31,4361.31,15045.7,-2.71651,0,0.108737,2,746.581,14,1,24,15,9
0,6,1558.74,29098.3,29098.3,25502.4,-2.30426,0,0.108737,2,7230.75,21,1,24,22,2
0,6,340.553,14255.9,14255.9,25255.1,-2.20756,0,0.108737,2,6685.13,19,1,24,20,4
0,6,4588.56,83644,61213.9,11374.7,-2.46243,0,0.108737,2,0,4294967295,0,24,24,0
0,6,9.63555,235.422,235.422,173967,-2.18799,14,0.108737,2,98.8451,20,1,9,6,3
0,6,39.6311,1993.98,1080.73,569739,-2.24328,14,0.108737,2,6.94685,4294967295,0,9,9,0
0,6,147.571,1866.16,1258.72,3.90755e+006,-2.30151,16,0.108737,2,1.51849,4294967295,0,7,7,0
0,6,19.1688,432.666,432.666,128988,-2.35147,16,0.108737,2,19.9876,23,1,7,7,0
0,6,107.858,4361.31,788.838,330807,-2.71651,17,0.108737,2,0,4294967295,0,6,6,0
0,6,40.6042,2023.09,457.587,91679.5,-2.24328,17,0.108737,2,0,4294967295,0,6,6,0
0,6,19.2755,407.057,36.4405,307259,-2.35147,22,0.108737,2,0,4294967295,0,1,1,0
0,6,106.638,4352.16,163.578,699020,-2.71651,22,0.108737,2,0,4294967295,0,1,1,0
0,6,40.9536,2086.54,70.1473,753636,-2.24328,22,0.108737,2,0,4294967295,0,1,1,0
0,6,9.43039,219.67,19.8635,5.19993e+006,-2.18799,22,0.108737,2,0,4294967295,0,1,1,0
0,7,126.168,4610.42,4610.42,81339.7,-2.18799,0,0.108737,3.45316,1790.7,11,1,24,12,12
0,7,16.0798,376.847,376.847,539566,-2.50065,11,0.108737,3.00195,0,16,1,12,5,7
0,7,6.10268,153.942,153.942,67957.7,-2.71651,13,0.108737,3.00002,-1.40643e-014,17,1,10,4,6
0,7,21.2114,200.45,200.45,84784.5,-2.30151,15,0.108737,3.00029,2.02101e-014,18,1,8,3,5
0,7,47.0466,470.171,470.171,548694,-2.46243,15,0.108737,3.00442,0,18,1,8,3,5
0,7,126.168,4610.42,1827.5,1.29358e+006,-2.18799,16,0.108737,3.51368,0,4294967295,0,7,7,0
0,7,1022,17723.5,14260.9,72477.6,-2.46243,16,0.108737,3.91493,0,4294967295,0,7,7,0
0,7,33.6989,1009.7,1009.7,342945,-2.20756,17,0.108737,3.99121,215.578,23,1,6,6,0
