FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,1.37052e+010,3.13646e+008
0,0.1,1,1.81259e+010,1.37088e+009
0,1,10,2.8611e+009,2.31952e+009
0,10,100,1.5324e+008,5.01505e+008
0,100,1000,5.09037e+006,4.7993e+008
0,1000,10000,306939,2.77399e+008
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,5.7971e+008,4.42727e+008
1,10,100,3.35816e+008,7.68395e+008
1,100,1000,4.55418e+006,1.59157e+008
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,1.23831e+010,1.14078e+009
2,1,10,9.50683e+009,1.92135e+009
2,10,100,2.41828e+008,4.81727e+008
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,1.28351e+013,8.21105e+009
3,0.01,0.1,4.48238e+012,2.92174e+009
3,0.1,1,1.43534e+009,4.08011e+007
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,1.14486e+006,2829.41
4,0.01,0.1,7.00096e+010,1.28541e+009
4,0.1,1,1.02093e+010,9.40799e+008
4,1,10,3.37706e+007,3.30043e+007
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,1.29662e+012,7.39902e+008
5,0.01,0.1,1.11246e+011,6.11717e+008
5,0.1,1,1.83135e+010,3.15976e+008
5,1,10,9.48514e+007,1.69659e+007
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,3.14813e+009,8.92999e+007
6,0.1,1,1.11985e+009,6.43561e+007
6,1,10,6.64689e+007,5.47398e+007
6,10,100,2.48692e+007,1.52951e+008
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,2.42889e+008,865852
7,0.1,1,4.85842e+010,8.99471e+008
7,1,10,3.15371e+008,4.28541e+008
7,10,100,7.16075e+007,3.99605e+008
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,1.39841e+009,1.06369e+007
8,0.1,1,3.95723e+010,3.97131e+008
8,1,10,8.84624e+007,5.61887e+007
8,10,100,8.96658e+006,1.19671e+008
8,100,1000,0,0
8,1000,10000,0,0
